Process ID,Process Name,User ID,Computing Node ID,UL Latency,Backhaul Latency,Processing Latency
47,SIMPLE_RAN_APP_8,8,39,1942.3448591931353,0.0,16.19999999999061
49,SIMPLE_RAN_APP_9,9,42,777.1099508179574,0,16.19999999999061
51,SIMPLE_RAN_APP_10,10,45,2107.8431507018386,0,16.19999999999061
55,SIMPLE_RAN_APP_12,12,51,1362.47705678345,0,16.19999999999061
59,SIMPLE_RAN_APP_14,14,57,4380.206181544956,0,16.19999999999061
63,SIMPLE_RAN_APP_16,16,63,2763.3539937106625,0,16.19999999999061
85,SIMPLE_RAN_APP_27,27,96,1050.9407972739073,0,16.19999999999061
89,SIMPLE_RAN_APP_29,29,102,829.5421172502172,0,16.19999999999061
66,SIMPLE_RAN_APP_18,18,13,3410.1720997102066,0,16.799999999990575
42,SIMPLE_RAN_APP_6,6,11,2242.9141223942756,0,16.999999999990564
34,SIMPLE_RAN_APP_2,2,12,2371.5312071052304,0,17.999999999990507
68,SIMPLE_RAN_APP_19,19,14,2497.8916049183526,0,17.999999999990507
35,SIMPLE_RAN_APP_2,2,21,2371.5312071052304,0,20.199999999990382
41,SIMPLE_RAN_APP_5,5,30,544.8759007307565,0,20.199999999990382
43,SIMPLE_RAN_APP_6,6,33,2242.9141223942756,0,20.199999999990382
67,SIMPLE_RAN_APP_18,18,69,3410.1720997102066,0,20.199999999990382
69,SIMPLE_RAN_APP_19,19,72,2497.8916049183526,0,20.199999999990382
71,SIMPLE_RAN_APP_20,20,75,3142.039906635977,0,20.199999999990382
56,SIMPLE_RAN_APP_13,13,13,2311.933234682206,0,20.59999999999036
57,SIMPLE_RAN_APP_13,13,54,2311.933234682206,0,24.199999999990155
76,SIMPLE_RAN_APP_23,23,13,1202.0473769863002,0.0,7.799999999988245
80,SIMPLE_RAN_APP_25,25,10,2149.8548975360454,0,9.799999999988131
77,SIMPLE_RAN_APP_23,23,84,1202.0473769863002,0.0,10.199999999988108
81,SIMPLE_RAN_APP_25,25,90,2149.8548975360454,0,10.199999999988108
32,SIMPLE_RAN_APP_1,1,11,2166.6120805501087,0,10.199999999988108
60,SIMPLE_RAN_APP_15,15,10,474.5955762161554,0,10.599999999988086
52,SIMPLE_RAN_APP_11,11,11,1111.259777623107,0,10.799999999988074
84,SIMPLE_RAN_APP_27,27,12,1050.9407972739073,0,11.199999999988052
44,SIMPLE_RAN_APP_7,7,12,975.0218979632399,0,11.39999999998804
36,SIMPLE_RAN_APP_3,3,13,1500.9376355655534,0,11.799999999988017
54,SIMPLE_RAN_APP_12,12,12,1362.47705678345,0,12.199999999987995
40,SIMPLE_RAN_APP_5,5,10,544.8759007307565,0,12.199999999987995
48,SIMPLE_RAN_APP_9,9,14,777.1099508179574,0,12.99999999998795
46,SIMPLE_RAN_APP_8,8,13,1942.3448591931353,0,13.999999999987892
88,SIMPLE_RAN_APP_29,29,14,829.5421172502172,0,13.999999999987892
33,SIMPLE_RAN_APP_1,1,18,2166.6120805501087,0,14.199999999987881
37,SIMPLE_RAN_APP_3,3,24,1500.9376355655534,0,14.199999999987881
41,SIMPLE_RAN_APP_5,5,30,544.8759007307565,0,14.199999999987881
45,SIMPLE_RAN_APP_7,7,36,975.0218979632399,0,14.199999999987881
49,SIMPLE_RAN_APP_9,9,42,777.1099508179574,0,14.199999999987881
53,SIMPLE_RAN_APP_11,11,48,1111.259777623107,0,14.199999999987881
61,SIMPLE_RAN_APP_15,15,60,474.5955762161554,0,14.199999999987881
85,SIMPLE_RAN_APP_27,27,96,1050.9407972739073,0,14.199999999987881
62,SIMPLE_RAN_APP_16,16,11,2763.3539937106625,0,14.999999999987836
50,SIMPLE_RAN_APP_10,10,10,2107.8431507018386,0,14.999999999987836
58,SIMPLE_RAN_APP_14,14,14,4380.206181544956,0,15.79999999998779
70,SIMPLE_RAN_APP_20,20,10,3142.039906635977,0,15.999999999987779
66,SIMPLE_RAN_APP_18,18,13,3410.1720997102066,0,16.799999999987733
42,SIMPLE_RAN_APP_6,6,11,2242.9141223942756,0,16.999999999987722
34,SIMPLE_RAN_APP_2,2,12,2371.5312071052304,0,17.999999999987665
68,SIMPLE_RAN_APP_19,19,14,2497.8916049183526,0,17.999999999987665
43,SIMPLE_RAN_APP_6,6,33,2242.9141223942756,0,18.199999999987654
47,SIMPLE_RAN_APP_8,8,39,1942.3448591931353,0,18.199999999987654
59,SIMPLE_RAN_APP_14,14,57,4380.206181544956,0,18.199999999987654
63,SIMPLE_RAN_APP_16,16,63,2763.3539937106625,0,18.199999999987654
67,SIMPLE_RAN_APP_18,18,69,3410.1720997102066,0,18.199999999987654
