,BS,Throughput[Kbit/s],Latency[ms],Packet data size[bits],Packet cycles per bit[cycles/bit],Packet delay[ms]
107,2.0,4789.001931349379,8920.677546680927,42721142.0,774.0,6.0
108,4.0,3988.8631977649297,16259.986312978146,64858861.0,946.0,6.0
109,11.0,10670.707995765011,3636.0487059901393,38799214.0,706.0,9.0
110,11.0,8112.782861084263,8710.06708918079,70662883.0,827.0,9.0
111,5.0,6820.852894745127,6035.647687361292,41168265.0,916.0,9.0
112,5.0,4653.651049491133,10825.940205703426,50380148.0,553.0,9.0
113,12.0,3595.0627569229673,18807.81966039232,67615292.0,887.0,6.0
114,17.0,6327.970019123229,11294.557936275232,71471624.0,862.0,7.0
115,3.0,6741.838668625497,8839.190898667632,59592399.0,766.0,9.0
116,9.0,2934.4144932235554,19387.389931237587,56890638.0,613.0,5.0
117,4.0,6061.550168110576,9616.44123753405,58290541.0,663.0,9.0
118,7.0,7628.919625564817,7947.18216676864,60628414.0,768.0,5.0
119,4.0,6933.991073373295,8550.058598670525,59286030.0,975.0,6.0
120,15.0,10265.182763823404,4856.884592031381,49856808.0,533.0,9.0
121,9.0,3559.7084665068674,12767.973396596779,45450263.0,737.0,7.0
122,13.0,6615.594493053095,7278.434621493593,48151172.0,831.0,5.0
123,9.0,4787.885770047417,11604.269121786036,55559915.0,898.0,7.0
124,1.0,6853.12469183613,7734.461195948052,53005227.0,500.0,6.0
125,8.0,7038.164476512081,7250.707932487801,51031675.0,984.0,9.0
126,14.0,5945.23170585078,7176.903291760609,42668353.0,590.0,6.0
127,15.0,11737.254658851234,6124.4624138568,71884375.0,714.0,5.0
128,10.0,5196.852676516732,12023.279644302003,62483213.0,820.0,5.0
129,15.0,9536.991383481416,4101.603265339285,39116955.0,555.0,9.0
130,3.0,5963.427292801453,6265.208271273868,37362114.0,789.0,8.0
131,2.0,5304.877872664365,8642.099611046144,45845283.0,782.0,7.0
132,14.0,,,61483719.0,626.0,9.0
133,4.0,5555.59236334004,8433.229786469192,46851587.0,502.0,6.0
134,1.0,8399.668922574478,8548.525026625932,71804780.0,538.0,8.0
135,17.0,6391.22947373699,11505.312913918073,73533095.0,846.0,8.0
136,8.0,,,71998416.0,664.0,7.0
137,5.0,5569.18706729556,9207.836687896002,51280165.0,565.0,6.0
138,17.0,6940.971532072295,6084.13473601899,42229806.0,534.0,6.0
139,11.0,7719.098872487247,9067.773992308796,69995044.0,963.0,7.0
140,5.0,6488.905831476254,9557.40977148544,62017132.0,904.0,6.0
141,9.0,3128.6108525343197,19146.08074426313,59900636.0,561.0,9.0
142,6.0,7722.588555185067,6586.287568803553,50863189.0,900.0,6.0
143,16.0,5409.3738928421035,10616.226967780847,57427141.0,987.0,9.0
144,7.0,5532.609483017572,6796.487284240982,37602310.0,571.0,7.0
145,6.0,8148.613513217163,6947.663293659909,56613823.0,708.0,9.0
146,12.0,3834.4033657451014,11223.601143391255,43035814.0,959.0,9.0
147,9.0,2733.8749702351415,26839.8097202261,73376684.0,507.0,8.0
148,2.0,7744.761151524052,8055.444807064589,62387496.0,533.0,9.0
149,17.0,,,54232825.0,732.0,5.0
150,17.0,6609.048819363314,7934.297723201213,52438161.0,845.0,6.0
151,3.0,4347.134113047186,15489.213870331112,67333690.0,720.0,9.0
152,6.0,8712.062339946899,5257.203542953432,45801085.0,991.0,8.0
153,0.0,6629.017513039748,9861.83953676455,65374307.0,950.0,6.0
154,12.0,2501.200021596632,22516.13645999012,56317361.0,519.0,9.0
155,12.0,4796.951999632671,9408.61884868893,45132693.0,694.0,6.0
156,0.0,8371.235470169004,6611.507130247123,55346483.0,930.0,8.0
157,12.0,2909.216177038924,20664.48257591813,60117447.0,788.0,7.0
158,7.0,7679.680895782029,8170.860463025807,62749601.0,530.0,5.0
159,17.0,4840.524985323381,14067.527635218028,68094219.0,521.0,9.0
160,3.0,6255.145110002626,10667.574904584746,66727229.0,531.0,7.0
161,0.0,6083.473429541445,7923.138246308277,48200201.0,952.0,9.0
